station_id,station_name,district,observed_at,pollutant,concentration,concentration_unit,ispu_value,ispu_category,source,averaging_period,quality_flag,fetched_at
04c6a78b-bb4e-44e2-9456-5b5f29ed966c,LCS-09 PT. JIEP,Kota Adm. Jakarta Timur,2026-09-07 11:00:00+07:00,PM2.5,35.47,ug/m3,83,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
25e97534-6bbe-40ac-a340-8dd4fcf9ed5f,LCS-08 Terminal Kalideres,Kota Adm. Jakarta Barat,2026-09-07 11:00:00+07:00,PM2.5,42.55,ug/m3,73,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
27fd1b91-2ed5-4c51-894a-b6b058f5588b,LCS-14 Pulau Pramuka,Kab. Adm. Kep. Seribu,2026-09-07 11:00:00+07:00,PM2.5,49.45,ug/m3,56,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
42b53155-7cfe-4543-aec2-5832c886d36f,LCS-01 Patung Pemuda Membangun,Kota Adm. Jakarta Selatan,2026-09-07 11:00:00+07:00,PM2.5,46.97,ug/m3,69,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
4c663e14-ddf6-4212-81b7-b9db9f9dc83c,DKI_PM25_42 Taman Sutoyo,Kota Adm. Jakarta Timur,2026-09-07 11:00:00+07:00,PM2.5,3.43,ug/m3,74,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
730cae5b-25db-42e0-9150-e3f0abc23e3c,LCS-10 SPKU Kelapa Gading,Kota Adm. Jakarta Utara,2026-09-07 11:00:00+07:00,PM2.5,33.0,ug/m3,73,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
7d5d927f-e760-476c-bb20-a45d6480b98c,LCS-02 Jl. DI Panjaitan,Kota Adm. Jakarta Timur,2026-09-07 11:00:00+07:00,PM2.5,22.59,ug/m3,66,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
8bc0eb43-1ca6-4d63-961e-826ac20ae2d7,LCS-12 Stadion JIS,Kota Adm. Jakarta Utara,2026-09-07 11:00:00+07:00,PM2.5,44.52,ug/m3,65,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
a67fb637-93c1-4e90-bd72-d920b37ba41e,LCS-04 Jl. Fatmawati,Kota Adm. Jakarta Selatan,2026-09-07 11:00:00+07:00,PM2.5,48.03,ug/m3,71,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
bf554216-ad15-460f-a9e5-2c64db9c6a9e,pm25_kemayoran Kemayoran BMKG,Kota Adm. Jakarta Pusat,2026-09-07 11:00:00+07:00,PM2.5,43.8,ug/m3,61,Sedang,https://udara.jakarta.go.id/,unknown,,2026-09-07 06:45:02.707462+00:00
